name,sku,barcode,package,brand,roi,roi_days,short_description,long_description,in_stock,cost,price,featured_image,images,location,active
"Cherry Paste Polish Dark Tan",307662970,17192,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.6839999999999999,0.864,grocerapp-cherry-blossom-dark-tan-nourishes-5e99770a6b78a.jpeg,"grocerapp-cherry-blossom-dark-tan-nourishes-5e99770a6b78a.jpeg,grocerapp-cherry-blossom-dark-tan-nourishes-5e99770a6b78a.jpeg",assets/images/product_images/,1
"Gillette Blue 3 Razor with Single Blades",973538686,7213,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.4652,1.6452,grocerapp-gillette-blue-3-razor-with-5e6be2d3e1acb.jpeg,"grocerapp-gillette-blue-3-razor-with-5e6be2d3e1acb.jpeg,grocerapp-gillette-blue-3-razor-with-5e6be2d3e1acb.jpeg",assets/images/product_images/,1
"Loreal Excellence Color Natural Light Brown 5",440685874,23161,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.5764,5.7564,grocerapp-loreal-excellence-color-natural-light-5f34d6e992787.jpeg,"grocerapp-loreal-excellence-color-natural-light-5f34d6e992787.jpeg,grocerapp-loreal-excellence-color-natural-light-5f34d6e992787.jpeg",assets/images/product_images/,1
"Bold Deodorant Body Spray Groove",486149104,7017,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.972,1.152,grocerapp-bold-deodorant-body-spray-groove-609a1714963fa.jpeg,"grocerapp-bold-deodorant-body-spray-groove-609a1714963fa.jpeg,grocerapp-bold-deodorant-body-spray-groove-609a1714963fa.jpeg",assets/images/product_images/,1
"Fair & Lovely Instant Brightness Face Cream for Men",392554443,5311,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.216,0.39599999999999996,grocerapp-fair-lovely-instant-brightness-face-5fd87c6d81a5d.jpeg,"grocerapp-fair-lovely-instant-brightness-face-5fd87c6d81a5d.jpeg,grocerapp-fair-lovely-instant-brightness-face-5fd87c6d81a5d.jpeg",assets/images/product_images/,1
"Nivea Fresh Natural Body Spray",569911934,4879,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-fresh-natural-body-spray-5ed9f8ebeef8c.jpeg,"grocerapp-nivea-fresh-natural-body-spray-5ed9f8ebeef8c.jpeg,grocerapp-nivea-fresh-natural-body-spray-5ed9f8ebeef8c.jpeg",assets/images/product_images/,1
"Garnier Men Turbolight Oil Control Foaming Gel",2000681,25570,4,1,1,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.062,1.242,grocerapp-garnier-men-turbolight-oil-control-5f4ccdd1662a7.jpeg,"grocerapp-garnier-men-turbolight-oil-control-5f4ccdd1662a7.jpeg,grocerapp-garnier-men-turbolight-oil-control-5f4ccdd1662a7.jpeg",assets/images/product_images/,1
"LOreal Paris Elvive Color Protect Conditioner - For Colored Hair",858719861,22380,4,1,2,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.8603999999999999,1.0404,grocerapp-loreal-paris-elvive-color-protect-6188fee82d233.jpeg,"grocerapp-loreal-paris-elvive-color-protect-6188fee82d233.jpeg,grocerapp-loreal-paris-elvive-color-protect-6188fee82d233.jpeg",assets/images/product_images/,1
"Vatika Cactus Hair Oil",69926408,25452,4,1,2,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.134,1.314,grocerapp-vatika-cactus-hair-oil-5f5c99872c5a2.jpeg,"grocerapp-vatika-cactus-hair-oil-5f5c99872c5a2.jpeg,grocerapp-vatika-cactus-hair-oil-5f5c99872c5a2.jpeg",assets/images/product_images/,1
"NIVEA SOFT CREAM 300 ML",210361185,950,4,1,2,10,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.88,3.06,grocerapp-nivea-soft-cream-300-ml-5f843768b2bbe.jpeg,"grocerapp-nivea-soft-cream-300-ml-5f843768b2bbe.jpeg,grocerapp-nivea-soft-cream-300-ml-5f843768b2bbe.jpeg",assets/images/product_images/,1
"Listerine Green Tea Mouth Wash",402226523,12888,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.332,1.512,grocerapp-listerine-green-tea-mouth-wash-5f5c7933c0696.jpeg,"grocerapp-listerine-green-tea-mouth-wash-5f5c7933c0696.jpeg,grocerapp-listerine-green-tea-mouth-wash-5f5c7933c0696.jpeg",assets/images/product_images/,1
"REVLON Color Silk 45",635638193,7416,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.422,1.6019999999999999,grocerapp-revlon-color-silk-45-5e6bd6ed12216.jpeg,"grocerapp-revlon-color-silk-45-5e6bd6ed12216.jpeg,grocerapp-revlon-color-silk-45-5e6bd6ed12216.jpeg",assets/images/product_images/,1
"Nivea Soft Cream Tropical Fruit Freshies",999944810,3509,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.332,1.512,grocerapp-nivea-soft-cream-tropical-fruit-5f843962de007.jpeg,"grocerapp-nivea-soft-cream-tropical-fruit-5f843962de007.jpeg,grocerapp-nivea-soft-cream-tropical-fruit-5f843962de007.jpeg",assets/images/product_images/,1
"Fa Sport Energizing Fresh Body Spray",466954272,22269,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.4364,1.6164,grocerapp-fa-sport-energizing-fresh-body-5e6bdf0cd4d78.png,"grocerapp-fa-sport-energizing-fresh-body-5e6bdf0cd4d78.png,grocerapp-fa-sport-energizing-fresh-body-5e6bdf0cd4d78.png",assets/images/product_images/,1
"NIVEA SENSUAL MUSK BODY LOTION 400 ML",210911591,5502,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.2399999999999998,3.42,grocerapp-nivea-sensual-musk-body-lotion-5f842de3a5b80.jpeg,"grocerapp-nivea-sensual-musk-body-lotion-5f842de3a5b80.jpeg,grocerapp-nivea-sensual-musk-body-lotion-5f842de3a5b80.jpeg",assets/images/product_images/,1
"Fa FIJI Dream BodySpray",525390650,22347,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.4364,1.6164,grocerapp-fa-fiji-dream-anti-perspirant-spray-5edf29c040c6d.jpeg,"grocerapp-fa-fiji-dream-anti-perspirant-spray-5edf29c040c6d.jpeg,grocerapp-fa-fiji-dream-anti-perspirant-spray-5edf29c040c6d.jpeg",assets/images/product_images/,1
"Purex Sanitizer Multipurpose Spray",849437419,7239,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.63,0.8099999999999999,grocerapp-purex-sanitizer-multipurpose-spray-5f085b8a328af.jpeg,"grocerapp-purex-sanitizer-multipurpose-spray-5f085b8a328af.jpeg,grocerapp-purex-sanitizer-multipurpose-spray-5f085b8a328af.jpeg",assets/images/product_images/,1
"Sienna Foaming hand wash Tempting Desire",104413480,10605,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.08,1.26,grocerapp-sienna-foaming-hand-wash-tempting-6038e90493cb2.jpeg,"grocerapp-sienna-foaming-hand-wash-tempting-6038e90493cb2.jpeg,grocerapp-sienna-foaming-hand-wash-tempting-6038e90493cb2.jpeg",assets/images/product_images/,1
"Fair & Lovely is Now Glow & Lovely Crystal Bright Beauty Cream",321504880,22393,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.72,0.9,grocerapp-fair-lovely-is-now-60c1f1795fb29.png,"grocerapp-fair-lovely-is-now-60c1f1795fb29.png,grocerapp-fair-lovely-is-now-60c1f1795fb29.png",assets/images/product_images/,1
"Hunca She Sexy Deodorant Spray",912943098,25701,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.6164,1.7964,grocerapp-hunca-she-is-sexy-deodorant-5f840f759ac72.jpeg,"grocerapp-hunca-she-is-sexy-deodorant-5f840f759ac72.jpeg,grocerapp-hunca-she-is-sexy-deodorant-5f840f759ac72.jpeg",assets/images/product_images/,1
"Nivea Body Lotion Sensual Musk",22178229,24006,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.98,2.16,grocerapp-nivea-body-lotion-sensual-musk-5e6c0bb58fcb4.jpeg,"grocerapp-nivea-body-lotion-sensual-musk-5e6c0bb58fcb4.jpeg,grocerapp-nivea-body-lotion-sensual-musk-5e6c0bb58fcb4.jpeg",assets/images/product_images/,1
